Time,1,2,3
0,0.01472,0,0
2,45.58072,28.62918,26.24677
5,91.57809,96.4578,98.24271
10,92.76332,91.70403,97.21456
15,91.92283,91.14518,94.41448
20,82.23345,78.00048,72.28758
25,25.97052,16.63189,8.397721
30,4.470434,0.009269,0.010016
45,0.998927,0,0
60,1.634626,0,0
