Time,1,2,3
0,0,0,0.661172
2,3.471462,0.159644,4.003109
5,0.626453,5.649575,14.77896
10,0,0.004029,2.002672
15,0,0.00108,2.109675
20,0,0.024693,2.027276
25,0,0.000962,1.3019
30,0,0.006398,1.21872
45,0,0,1.130839
60,0,0,0.914568
