Time,Norm mean,,,,Dose
0,21.30995877,,,,150
1,64.29237308,,,,
3,57.28036532,,,,
5,40.01478776,,,,
7,29.70383742,,,,
9,24.22425869,,,,
11,25.21516979,,,,
13,22.90590998,,,,
15,25.52576173,,,,
17,24.11616567,,,,
19,23.46093952,,,,
21,26.50368763,,,,
23,21.91499888,,,,
25,24.46062441,,,,
27,26.32891387,,,,
29,26.54703013,,,,
31,24.9489732,,,,
33,22.56548718,,,,
35,24.41798383,,,,
37,22.75500091,,,,
39,24.58573857,,,,
41,23.07734971,,,,
43,23.29143003,,,,
45,22.87485079,,,,
47,23.53288455,,,,
49,24.24829885,,,,
51,23.82487606,,,,
53,23.12174506,,,,
55,21.12535836,,,,
57,22.27191639,,,,
59,22.41984238,,,,
61,21.730223,,,,
