Time,Norm mean,,,,Dose
0,15.37547924,,,,350
1,79.5246462,,,,
3,82.38086367,,,,
5,80.92915345,,,,
7,68.04853741,,,,
9,54.18069524,,,,
11,42.94621645,,,,
13,31.71682645,,,,
15,27.34923703,,,,
17,23.22731355,,,,
19,20.05120393,,,,
21,21.02807699,,,,
23,21.69488453,,,,
25,19.63304541,,,,
27,19.51547672,,,,
29,19.88976632,,,,
31,19.86941114,,,,
33,22.13480203,,,,
35,19.91556124,,,,
37,20.71046603,,,,
39,21.84825027,,,,
41,21.92072172,,,,
43,22.61086753,,,,
45,22.31326079,,,,
47,22.54243202,,,,
49,22.2230663,,,,
51,22.89864762,,,,
53,24.58444238,,,,
55,22.77932417,,,,
57,25.39742116,,,,
59,21.95757161,,,,
61,21.18898818,,,,
