Time,Norm mean,,,,Dose
0,19.22215189,,,,550
1,81.01494382,,,,
3,90,,,,
5,88.35807416,,,,
7,87.80058796,,,,
9,85.13055017,,,,
11,84.1501676,,,,
13,80.12703693,,,,
15,72.2313337,,,,
17,66.13408061,,,,
19,54.6321769,,,,
21,43.3450554,,,,
23,34.42176665,,,,
25,28.65826829,,,,
27,26.62046933,,,,
29,24.60302556,,,,
31,23.02900881,,,,
33,22.61558813,,,,
35,22.48047186,,,,
37,21.66503643,,,,
39,21.80313578,,,,
41,21.75049308,,,,
43,22.01546134,,,,
45,22.77404266,,,,
47,22.56645494,,,,
49,21.71539794,,,,
51,23.45260707,,,,
53,23.53736182,,,,
55,22.04809981,,,,
57,24.03044845,,,,
59,24.59495368,,,,
61,24.46562811,,,,
