Time,Norm mean,,,,Dose
0,17.86577242,,,,350
1,37.37038562,,,,
3,62.94531339,,,,
5,67.18883551,,,,
7,65.90897447,,,,
9,56.22308988,,,,
11,50.12507521,,,,
13,41.44354798,,,,
15,34.91863569,,,,
17,30.31359815,,,,
19,26.7122525,,,,
21,24.36265188,,,,
23,23.45595193,,,,
25,23.26462993,,,,
27,22.26260171,,,,
29,20.82352748,,,,
31,21.88212046,,,,
33,22.76552904,,,,
35,23.21971085,,,,
37,24.04039908,,,,
39,22.7234382,,,,
41,21.38801058,,,,
43,21.86049276,,,,
45,22.64574482,,,,
47,22.60531765,,,,
49,24.03989997,,,,
51,23.72380274,,,,
53,24.60837589,,,,
55,21.91256562,,,,
57,23.50469745,,,,
59,21.75618067,,,,
61,22.9323951,,,,
