Time,Norm mean,,,,Dose
0,15.09328377,,,,550
1,36.57483559,,,,
3,74.69865701,,,,
5,87.10580601,,,,
7,84.48602544,,,,
9,83.21115541,,,,
11,78.73804687,,,,
13,75.31671027,,,,
15,70.21540009,,,,
17,67.0976832,,,,
19,58.89329641,,,,
21,52.57101908,,,,
23,44.22522038,,,,
25,37.72310037,,,,
27,33.03987036,,,,
29,29.41307056,,,,
31,26.63307861,,,,
33,24.95110861,,,,
35,24.39793846,,,,
37,23.26131937,,,,
39,23.17514128,,,,
41,22.46808169,,,,
43,23.35564944,,,,
45,22.588365,,,,
47,22.92442627,,,,
49,22.24814456,,,,
51,22.28141795,,,,
53,22.63827509,,,,
55,22.28557713,,,,
57,22.76138664,,,,
59,23.08114395,,,,
61,22.0072452,,,,
