Time,Norm mean,,,,Dose
0,15.08420087,,,,150
1,25.94896176,,,,
3,40.02643507,,,,
5,38.81644815,,,,
7,32.90875729,,,,
9,28.74126486,,,,
11,24.28030112,,,,
13,24.78272935,,,,
15,25.3373968,,,,
17,24.24702772,,,,
19,23.7823648,,,,
21,24.27597558,,,,
23,23.73794482,,,,
25,24.17166349,,,,
27,25.21761259,,,,
29,24.12790898,,,,
31,24.65129944,,,,
33,25.95894377,,,,
35,25.71504981,,,,
37,25.16104782,,,,
39,25.30961352,,,,
41,26.50579198,,,,
43,24.3075853,,,,
45,24.22822826,,,,
47,22.95884833,,,,
49,22.66986891,,,,
51,23.28659125,,,,
53,22.42314671,,,,
55,20.30196793,,,,
57,21.8924361,,,,
59,17.8924752,,,,
61,20.03195435,,,,
