Time,Norm mean,,,,Dose
0,21.91453099,,,,350
1,28.70560065,,,,
3,29.00797047,,,,
5,28.85428702,,,,
7,27.49069704,,,,
9,26.02259564,,,,
11,24.83327188,,,,
13,23.64448685,,,,
15,23.18211757,,,,
17,22.7457554,,,,
19,22.40952061,,,,
21,22.51293603,,,,
23,22.58352676,,,,
25,22.36525279,,,,
27,22.35280653,,,,
29,22.39243022,,,,
31,22.39027535,,,,
33,22.63009806,,,,
35,22.39516097,,,,
37,22.47931255,,,,
39,22.59976263,,,,
41,22.60743473,,,,
43,22.68049613,,,,
45,22.64899037,,,,
47,22.67325129,,,,
49,22.63944205,,,,
51,22.7109616,,,,
53,22.88942611,,,,
55,22.69832958,,,,
57,22.97549107,,,,
59,22.61133579,,,,
61,22.52997069,,,,
