Time,Norm mean,,,,Dose
0,22.50719347,,,,550
1,29.0488085,,,,
3,30,,,,
5,29.82617962,,,,
7,29.76716205,,,,
9,29.48450191,,,,
11,29.38071496,,,,
13,28.95481137,,,,
15,28.11894283,,,,
17,27.47346491,,,,
19,26.25583056,,,,
21,25.06093385,,,,
23,24.11628128,,,,
25,23.50613588,,,,
27,23.2904069,,,,
29,23.07683279,,,,
31,22.91020152,,,,
33,22.86643526,,,,
35,22.85213135,,,,
37,22.76580632,,,,
39,22.78042603,,,,
41,22.77485308,,,,
43,22.80290361,,,,
45,22.88320985,,,,
47,22.86123384,,,,
49,22.77113778,,,,
51,22.95504521,,,,
53,22.96401766,,,,
55,22.80635884,,,,
57,23.01621765,,,,
59,23.07597827,,,,
61,23.06228738,,,,
