Time,Norm mean,,,,Dose
0,22.6507,,,,150
1,33.51546089,,,,
3,47.5929342,,,,
5,46.38294728,,,,
7,40.47525642,,,,
9,36.307764,,,,
11,31.84680025,,,,
13,32.34922848,,,,
15,32.90389593,,,,
17,31.81352686,,,,
19,31.34886393,,,,
21,31.84247471,,,,
23,31.30444395,,,,
25,31.73816262,,,,
27,32.78411172,,,,
29,31.69440811,,,,
31,32.21779858,,,,
33,33.52544291,,,,
35,33.28154894,,,,
37,32.72754695,,,,
39,32.87611265,,,,
41,34.07229111,,,,
43,31.87408443,,,,
45,31.79472739,,,,
47,30.52534746,,,,
49,30.23636805,,,,
51,30.85309038,,,,
53,29.98964584,,,,
55,27.86846706,,,,
57,29.45893523,,,,
59,25.45897434,,,,
61,27.59845348,,,,
