Time,Norm mean,,,,Dose
0,18.64500511,,,,350
1,54.11512342,,,,
3,55.69441707,,,,
5,54.89172024,,,,
7,47.76961722,,,,
9,40.10164544,,,,
11,33.88974416,,,,
13,27.68065665,,,,
15,25.2656773,,,,
17,22.98653448,,,,
19,21.23036227,,,,
21,21.77050651,,,,
23,22.13920565,,,,
25,20.9991491,,,,
27,20.93414162,,,,
29,21.14109827,,,,
31,21.12984325,,,,
33,22.38245005,,,,
35,21.15536111,,,,
37,21.59488929,,,,
39,22.22400645,,,,
41,22.26407822,,,,
43,22.64568183,,,,
45,22.48112558,,,,
47,22.60784165,,,,
49,22.43125417,,,,
51,22.80480461,,,,
53,23.73693425,,,,
55,22.73882687,,,,
57,24.18645612,,,,
59,22.2844537,,,,
61,21.85947943,,,,
