Time,Norm mean,,,,Dose
0,22.06941185,,,,150
1,45.83575821,,,,
3,41.95859571,,,,
5,32.41190777,,,,
7,26.7106548,,,,
9,23.68082113,,,,
11,24.22872745,,,,
13,22.95186412,,,,
15,24.40046363,,,,
17,23.62105306,,,,
19,23.25875764,,,,
21,24.94119002,,,,
23,22.4039578,,,,
25,23.81151527,,,,
27,24.84455204,,,,
29,24.96515546,,,,
31,24.08153887,,,,
33,22.76363351,,,,
35,23.78793793,,,,
37,22.86842169,,,,
39,23.88069487,,,,
41,23.04665861,,,,
43,23.16503044,,,,
45,22.93469051,,,,
47,23.29853834,,,,
49,23.6941137,,,,
51,23.45998975,,,,
53,23.07120621,,,,
55,21.9673404,,,,
57,22.60130887,,,,
59,22.68310186,,,,
61,22.30178933,,,,
