Time,Norm mean,,,,Dose
0,20.86467268,,,,550
1,55.03187616,,,,
3,60,,,,
5,59.09212689,,,,
7,58.783875,,,,
9,57.30752604,,,,
11,56.76544128,,,,
13,54.54092415,,,,
15,50.17513826,,,,
17,46.80377276,,,,
19,40.44400373,,,,
21,34.20299463,,,,
23,29.26902397,,,,
25,26.08220208,,,,
27,24.95543812,,,,
29,23.83992918,,,,
31,22.96960516,,,,
33,22.7410117,,,,
35,22.66630161,,,,
37,22.21542137,,,,
39,22.29178091,,,,
41,22.26267308,,,,
43,22.40918247,,,,
45,22.82862625,,,,
47,22.71384439,,,,
49,22.24326786,,,,
51,23.20382614,,,,
53,23.25068974,,,,
55,22.42722933,,,,
57,23.52333305,,,,
59,23.83546598,,,,
61,23.76395775,,,,
