Time,Norm mean,,,,Dose
0,22.709315,,,,550
1,93.48722801,,,,
3,93.85256986,,,,
5,91.0645923,,,,
7,87.3637592,,,,
9,82.09608205,,,,
11,72.56042683,,,,
13,60.87813868,,,,
15,47.72633115,,,,
17,37.67710112,,,,
19,33.60011232,,,,
21,30.84557451,,,,
23,29.07326725,,,,
25,28.59180126,,,,
27,29.33612706,,,,
29,28.14377503,,,,
31,30.43181987,,,,
33,30.23550686,,,,
35,31.4922429,,,,
37,30.82777325,,,,
39,28.77430582,,,,
41,30.1280338,,,,
43,29.20636082,,,,
45,30.11355987,,,,
47,29.46306505,,,,
49,29.79080797,,,,
51,28.72938674,,,,
53,28.86530855,,,,
55,30.08744026,,,,
57,30.03320463,,,,
59,29.27057847,,,,
61,27.14607235,,,,
