Time,Norm mean,,,,Dose
0,22.833955,,,,150
1,66.17080202,,,,
3,55.30204833,,,,
5,42.19965178,,,,
7,33.06993195,,,,
9,28.47986744,,,,
11,30.44249851,,,,
13,29.64776352,,,,
15,29.91944077,,,,
17,29.63495327,,,,
19,29.671554,,,,
21,28.54691333,,,,
23,27.68247059,,,,
25,29.32883805,,,,
27,28.61911659,,,,
29,29.33283086,,,,
31,27.25041558,,,,
33,28.27407151,,,,
35,28.52927843,,,,
37,28.00023149,,,,
39,28.51097806,,,,
41,29.04385145,,,,
43,28.13997974,,,,
45,28.08108583,,,,
47,26.66147654,,,,
49,27.21997043,,,,
51,26.80338756,,,,
53,27.32028971,,,,
55,27.02249285,,,,
57,25.92280722,,,,
59,26.8273444,,,,
61,26.66696665,,,,
