Time,Norm mean,,,,Dose
0,18.46694155,,,,150
1,24.47441401,,,,
3,32.25829754,,,,
5,31.58925722,,,,
7,28.32270671,,,,
9,26.01836737,,,,
11,23.55175838,,,,
13,23.82956696,,,,
15,24.13626026,,,,
17,23.53336046,,,,
19,23.27643352,,,,
21,23.54936665,,,,
23,23.2518723,,,,
25,23.49168917,,,,
27,24.07002776,,,,
29,23.46749591,,,,
31,23.75689518,,,,
33,24.47993339,,,,
35,24.34507664,,,,
37,24.03875129,,,,
39,24.120898,,,,
41,24.78230319,,,,
43,23.56684467,,,,
45,23.52296564,,,,
47,22.82108503,,,,
49,22.6612991,,,,
51,23.00230453,,,,
53,22.52487853,,,,
55,21.3520112,,,,
57,22.23143173,,,,
59,20.0197259,,,,
61,21.20271209,,,,
