Time,Norm mean,,,,Dose
0,18.47219401,,,,550
1,30.35002845,,,,
3,51.429904,,,,
5,58.290212,,,,
7,56.84165185,,,,
9,56.13673559,,,,
11,53.66341136,,,,
13,51.77164535,,,,
15,48.95096841,,,,
17,47.22708341,,,,
19,42.69061655,,,,
21,39.19482797,,,,
23,34.58016996,,,,
25,30.98494063,,,,
27,28.39543355,,,,
29,26.39006038,,,,
31,24.85291426,,,,
33,23.92289946,,,,
35,23.61703405,,,,
37,22.98856114,,,,
39,22.94091053,,,,
41,22.54995476,,,,
43,23.04071924,,,,
45,22.61646323,,,,
47,22.80228221,,,,
49,22.42834451,,,,
51,22.44674243,,,,
53,22.64406011,,,,
55,22.44904217,,,,
57,22.71213241,,,,
59,22.88893641,,,,
61,22.29514358,,,,
