Time,Norm mean,,,,Dose
0,20.07547044,,,,350
1,30.86019253,,,,
3,45.00138495,,,,
5,47.34776354,,,,
7,46.64008759,,,,
9,41.28445339,,,,
11,37.91266679,,,,
13,33.11237377,,,,
15,29.50454187,,,,
17,26.95826989,,,,
19,24.96697114,,,,
21,23.66780209,,,,
23,23.1664588,,,,
25,23.06067077,,,,
27,22.50661744,,,,
29,21.71090745,,,,
31,22.29623724,,,,
33,22.78470198,,,,
35,23.03583358,,,,
37,23.48961825,,,,
39,22.76142862,,,,
41,22.02302814,,,,
43,22.28427859,,,,
45,22.71846948,,,,
47,22.69611601,,,,
49,23.48934228,,,,
51,23.31456205,,,,
53,23.80367072,,,,
55,22.31307133,,,,
57,23.19341175,,,,
59,22.22660111,,,,
61,22.87696755,,,,
