Time,Norm mean,,,,Dose
0,21.85110426,,,,550
1,24.12522132,,,,
3,28.161151,,,,
5,29.47461799,,,,
7,29.19727827,,,,
9,29.06231578,,,,
11,28.58877585,,,,
13,28.22658042,,,,
15,27.68653673,,,,
17,27.35648361,,,,
19,26.48793668,,,,
21,25.81863686,,,,
23,24.93511954,,,,
25,24.2467809,,,,
27,23.75099674,,,,
29,23.36705021,,,,
31,23.07274991,,,,
33,22.8946903,,,,
35,22.83612965,,,,
37,22.71580292,,,,
39,22.70667979,,,,
41,22.63182783,,,,
43,22.72578905,,,,
45,22.64456147,,,,
47,22.68013816,,,,
49,22.60854446,,,,
51,22.61206691,,,,
53,22.64984513,,,,
55,22.61250721,,,,
57,22.66287818,,,,
59,22.69672888,,,,
61,22.58304196,,,,
