Time,Norm mean,,,,Dose
0,22.28516845,,,,350
1,24.34999943,,,,
3,27.05745651,,,,
5,27.50669156,,,,
7,27.3712007,,,,
9,26.3458169,,,,
11,25.70025836,,,,
13,24.78119956,,,,
15,24.09044805,,,,
17,23.60294163,,,,
19,23.22168977,,,,
21,22.9729523,,,,
23,22.87696567,,,,
25,22.85671161,,,,
27,22.75063317,,,,
29,22.59828742,,,,
31,22.71035401,,,,
33,22.80387493,,,,
35,22.85195631,,,,
37,22.93883742,,,,
39,22.79941904,,,,
41,22.6580457,,,,
43,22.70806442,,,,
45,22.79119413,,,,
47,22.78691436,,,,
49,22.93878458,,,,
51,22.90532135,,,,
53,22.99896556,,,,
55,22.71357705,,,,
57,22.88212605,,,,
59,22.69702156,,,,
61,22.82154,,,,
