Time,Norm mean,,,,Dose
0,22.68874,,,,350
1,29.12729435,,,,
3,29.41396856,,,,
5,29.26826261,,,,
7,27.97545476,,,,
9,26.58356053,,,,
11,25.45597297,,,,
13,24.32889617,,,,
15,23.89052786,,,,
17,23.47681667,,,,
19,23.15803538,,,,
21,23.25608264,,,,
23,23.3230091,,,,
25,23.11606544,,,,
27,23.10426525,,,,
29,23.14183213,,,,
31,23.13978911,,,,
33,23.36716295,,,,
35,23.14442113,,,,
37,23.22420451,,,,
39,23.33840219,,,,
41,23.34567604,,,,
43,23.41494492,,,,
45,23.38507459,,,,
47,23.40807615,,,,
49,23.3760219,,,,
51,23.44382897,,,,
53,23.61302963,,,,
55,23.43185266,,,,
57,23.69462707,,,,
59,23.3493746,,,,
61,23.27223305,,,,
