Time,Norm mean,,,,Dose
0,22.32024979,,,,350
1,28.64959072,,,,
3,28.93777958,,,,
5,28.68721044,,,,
7,27.8986054,,,,
9,26.66462239,,,,
11,25.14451115,,,,
13,23.65504518,,,,
15,23.66291785,,,,
17,23.24110503,,,,
19,22.9467519,,,,
21,23.01989547,,,,
23,23.18768715,,,,
25,22.63166917,,,,
27,22.93407109,,,,
29,22.95362066,,,,
31,23.06468336,,,,
33,23.23441239,,,,
35,22.64487834,,,,
37,22.93213375,,,,
39,22.74361248,,,,
41,22.80344121,,,,
43,23.0140306,,,,
45,23.05858953,,,,
47,23.31137781,,,,
49,22.76745943,,,,
51,22.85099422,,,,
53,22.72823701,,,,
55,22.49600219,,,,
57,22.65655525,,,,
59,22.76416595,,,,
61,22.65896812,,,,
