Time,Norm mean,,,,Dose
0,20.33595186,,,,150
1,44.29827537,,,,
3,38.28859515,,,,
5,31.04386264,,,,
7,25.99574966,,,,
9,23.45775674,,,,
11,24.54295799,,,,
13,24.1035237,,,,
15,24.2537427,,,,
17,24.0964405,,,,
19,24.11667821,,,,
21,23.49482855,,,,
23,23.01685061,,,,
25,23.92717964,,,,
27,23.53475203,,,,
29,23.92938739,,,,
31,22.77795364,,,,
33,23.34396561,,,,
35,23.48507765,,,,
37,23.19255074,,,,
39,23.4749588,,,,
41,23.76960147,,,,
43,23.269822,,,,
45,23.23725768,,,,
47,22.45231047,,,,
49,22.76111954,,,,
51,22.5307776,,,,
53,22.81658927,,,,
55,22.65192789,,,,
57,22.04387667,,,,
59,22.5440241,,,,
61,22.45534613,,,,
