Time,Norm mean,,,,Dose
0,19.06475356,,,,550
1,58.20011676,,,,
3,58.40212591,,,,
5,56.86056429,,,,
7,54.81425576,,,,
9,51.90158922,,,,
11,46.62902163,,,,
13,40.16951229,,,,
15,32.89745887,,,,
17,27.3409194,,,,
19,25.08662239,,,,
21,23.56355068,,,,
23,22.58358552,,,,
25,22.31736764,,,,
27,22.72892908,,,,
29,22.06963966,,,,
31,23.33477255,,,,
33,23.22622483,,,,
35,23.92111423,,,,
37,23.55370779,,,,
39,22.41828022,,,,
41,23.16679955,,,,
43,22.6571772,,,,
45,23.15879646,,,,
47,22.79911714,,,,
49,22.98033665,,,,
51,22.39344303,,,,
53,22.46859853,,,,
55,23.14435409,,,,
57,23.11436549,,,,
59,22.69268518,,,,
61,21.51797806,,,,
