Time,Norm mean,,,,Dose
0,20.20504822,,,,350
1,53.26353281,,,,
3,54.76875855,,,,
5,53.46002259,,,,
7,49.3410965,,,,
9,42.89593754,,,,
11,34.95631563,,,,
13,27.17675562,,,,
15,27.21787496,,,,
17,25.01472417,,,,
19,23.47730208,,,,
21,23.85933486,,,,
23,24.73571973,,,,
25,21.83160823,,,,
27,23.41106957,,,,
29,23.51317802,,,,
31,24.0932644,,,,
33,24.97976813,,,,
35,21.90060043,,,,
37,23.40095071,,,,
39,22.41629409,,,,
41,22.72878275,,,,
43,23.82870233,,,,
45,24.061436,,,,
47,25.38176266,,,,
49,22.54084801,,,,
51,22.97715465,,,,
53,22.33598718,,,,
55,21.12301238,,,,
57,21.96158953,,,,
59,22.52364595,,,,
61,21.9741921,,,,
