Time,1,2,3
0,0,0,0.517306
2,100,100,92.99974
5,100,99.36286,91.48135
10,91.73164,86.19315,65.02061
15,13.24012,12.5527,6.613192
20,0.078863,0.631904,0.852178
25,0.089212,0.218028,1.486979
30,0.000528,0.373831,0.453928
45,0,0.508097,0.009458
60,0.000298,0.000496,0.087481
