Time,Norm mean,,,,Dose
0,22.896135,,,,550
1,81.48134602,,,,
3,90,,,,
5,88.44330433,,,,
7,87.91475648,,,,
9,85.38331678,,,,
11,84.45382455,,,,
13,80.63952919,,,,
15,73.15368132,,,,
17,67.37292846,,,,
19,56.46807313,,,,
21,45.76685096,,,,
23,37.30675816,,,,
25,31.84243526,,,,
27,29.91041571,,,,
29,27.99769474,,,,
31,26.50538308,,,,
33,26.11342252,,,,
35,25.98531995,,,,
37,25.21221268,,,,
39,25.34314348,,,,
41,25.29323339,,,,
43,25.5444475,,,,
45,26.26365188,,,,
47,26.06683977,,,,
49,25.25995999,,,,
51,26.90699293,,,,
53,26.98734817,,,,
55,25.57539176,,,,
57,27.45483934,,,,
59,27.99004186,,,,
61,27.86742941,,,,
