Time,Norm mean,,,,Dose
0,23.0087,,,,150
1,63.75995487,,,,
3,57.11193102,,,,
5,40.74258643,,,,
7,30.96686368,,,,
9,25.77172252,,,,
11,26.71119676,,,,
13,24.52180753,,,,
15,27.00566629,,,,
17,25.66924047,,,,
19,25.04802623,,,,
21,27.93282937,,,,
23,23.58233329,,,,
25,25.99581882,,,,
27,27.76712788,,,,
29,27.97392201,,,,
31,26.45881808,,,,
33,24.19905562,,,,
35,25.95539165,,,,
37,24.37873194,,,,
39,26.11443847,,,,
41,24.68434805,,,,
43,24.88731575,,,,
45,24.49236058,,,,
47,25.11623669,,,,
49,25.7945148,,,,
51,25.39307131,,,,
53,24.72643889,,,,
55,22.83368195,,,,
57,23.92072369,,,,
59,24.06097104,,,,
61,23.40714888,,,,
