Time,Norm mean,,,,Dose
0,22.6507,,,,150
1,28.65817247,,,,
3,36.44205599,,,,
5,35.77301567,,,,
7,32.50646517,,,,
9,30.20212582,,,,
11,27.73551683,,,,
13,28.01332541,,,,
15,28.32001872,,,,
17,27.71711891,,,,
19,27.46019197,,,,
21,27.7331251,,,,
23,27.43563075,,,,
25,27.67544763,,,,
27,28.25378621,,,,
29,27.65125436,,,,
31,27.94065363,,,,
33,28.66369184,,,,
35,28.5288351,,,,
37,28.22250975,,,,
39,28.30465645,,,,
41,28.96606164,,,,
43,27.75060312,,,,
45,27.70672409,,,,
47,27.00484348,,,,
49,26.84505756,,,,
51,27.18606298,,,,
53,26.70863699,,,,
55,25.53576966,,,,
57,26.41519018,,,,
59,24.20348436,,,,
61,25.38647054,,,,
