Time,Norm mean,,,,Dose
0,22.651215,,,,550
1,24.92533206,,,,
3,28.96126174,,,,
5,30.27472873,,,,
7,29.99738901,,,,
9,29.86242652,,,,
11,29.38888659,,,,
13,29.02669116,,,,
15,28.48664747,,,,
17,28.15659435,,,,
19,27.28804742,,,,
21,26.6187476,,,,
23,25.73523028,,,,
25,25.04689164,,,,
27,24.55110748,,,,
29,24.16716095,,,,
31,23.87286065,,,,
33,23.69480104,,,,
35,23.63624039,,,,
37,23.51591366,,,,
39,23.50679053,,,,
41,23.43193857,,,,
43,23.52589979,,,,
45,23.44467221,,,,
47,23.4802489,,,,
49,23.4086552,,,,
51,23.41217765,,,,
53,23.44995587,,,,
55,23.41261795,,,,
57,23.46298892,,,,
59,23.49683962,,,,
61,23.3831527,,,,
