Time,Norm mean,,,,Dose
0,22.896135,,,,550
1,29.09818357,,,,
3,30,,,,
5,29.8352024,,,,
7,29.77924836,,,,
9,29.51126072,,,,
11,29.41286122,,,,
13,29.00906571,,,,
15,28.21658598,,,,
17,27.60461396,,,,
19,26.45018537,,,,
21,25.31731415,,,,
23,24.42169722,,,,
25,23.84322366,,,,
27,23.63869287,,,,
29,23.43620511,,,,
31,23.27822344,,,,
33,23.23672904,,,,
35,23.22316762,,,,
37,23.14132361,,,,
39,23.15518443,,,,
41,23.14990076,,,,
43,23.17649522,,,,
45,23.25263288,,,,
47,23.23179761,,,,
49,23.14637832,,,,
51,23.32073935,,,,
53,23.32924606,,,,
55,23.1797711,,,,
57,23.37873641,,,,
59,23.43539495,,,,
61,23.42241474,,,,
