Time,Norm mean,,,,Dose
0,22.833955,,,,150
1,46.7962785,,,,
3,40.78659829,,,,
5,33.54186578,,,,
7,28.49375279,,,,
9,25.95575988,,,,
11,27.04096112,,,,
13,26.60152683,,,,
15,26.75174584,,,,
17,26.59444363,,,,
19,26.61468134,,,,
21,25.99283168,,,,
23,25.51485375,,,,
25,26.42518278,,,,
27,26.03275517,,,,
29,26.42739053,,,,
31,25.27595677,,,,
33,25.84196875,,,,
35,25.98308079,,,,
37,25.69055388,,,,
39,25.97296193,,,,
41,26.2676046,,,,
43,25.76782514,,,,
45,25.73526082,,,,
47,24.95031361,,,,
49,25.25912268,,,,
51,25.02878073,,,,
53,25.3145924,,,,
55,25.14993103,,,,
57,24.54187981,,,,
59,25.04202723,,,,
61,24.95334926,,,,
