Time,Norm mean,,,,Dose
0,22.82112,,,,350
1,55.87960459,,,,
3,57.38483033,,,,
5,56.07609437,,,,
7,51.95716828,,,,
9,45.51200932,,,,
11,37.57238741,,,,
13,29.7928274,,,,
15,29.83394674,,,,
17,27.63079595,,,,
19,26.09337386,,,,
21,26.47540665,,,,
23,27.35179151,,,,
25,24.44768001,,,,
27,26.02714135,,,,
29,26.1292498,,,,
31,26.70933618,,,,
33,27.59583991,,,,
35,24.51667221,,,,
37,26.0170225,,,,
39,25.03236588,,,,
41,25.34485453,,,,
43,26.44477411,,,,
45,26.67750779,,,,
47,27.99783444,,,,
49,25.15691979,,,,
51,25.59322643,,,,
53,24.95205896,,,,
55,23.73908416,,,,
57,24.57766131,,,,
59,25.13971773,,,,
61,24.59026388,,,,
