Time,Norm mean,,,,Dose
0,22.709315,,,,550
1,30.2021284,,,,
3,30.24080485,,,,
5,29.94565917,,,,
7,29.55387519,,,,
9,28.99621928,,,,
11,27.98673931,,,,
13,26.75000879,,,,
15,25.35770948,,,,
17,24.29386057,,,,
19,23.86225535,,,,
21,23.57064973,,,,
23,23.38302668,,,,
25,23.3320569,,,,
27,23.410854,,,,
29,23.28462717,,,,
31,23.52684812,,,,
33,23.50606569,,,,
35,23.63910845,,,,
37,23.56876522,,,,
39,23.35137751,,,,
41,23.49468819,,,,
43,23.39711646,,,,
45,23.49315593,,,,
47,23.42429213,,,,
49,23.45898821,,,,
51,23.34662221,,,,
53,23.3610114,,,,
55,23.49039081,,,,
57,23.48464923,,,,
59,23.40391478,,,,
61,23.17900665,,,,
