Time,Norm mean,,,,Dose
0,22.808415,,,,350
1,42.3130282,,,,
3,67.88795596,,,,
5,72.13147809,,,,
7,70.85161704,,,,
9,61.16573245,,,,
11,55.06771779,,,,
13,46.38619056,,,,
15,39.86127826,,,,
17,35.25624073,,,,
19,31.65489508,,,,
21,29.30529446,,,,
23,28.39859451,,,,
25,28.2072725,,,,
27,27.20524428,,,,
29,25.76617005,,,,
31,26.82476304,,,,
33,27.70817161,,,,
35,28.16235342,,,,
37,28.98304165,,,,
39,27.66608077,,,,
41,26.33065316,,,,
43,26.80313533,,,,
45,27.5883874,,,,
47,27.54796023,,,,
49,28.98254255,,,,
51,28.66644532,,,,
53,29.55101846,,,,
55,26.85520819,,,,
57,28.44734003,,,,
59,26.69882325,,,,
61,27.87503768,,,,
