Time,1,2,3,Dose
0,0,0,1.507175,350
2,15.05822,9.479253,17.69635,
5,85.7408,89.07958,70.90481,
10,90.07315,88.12351,76.22077,
15,44.55497,28.51482,35.71681,
20,3.829735,0.030886,0.382576,
25,0.113206,0,0.224762,
30,0,0,0.371385,
45,0.006813,0,0.626709,
60,0,0,0.234838,
