Time,Norm mean,,,,Dose
0,22.6507,,,,150
1,23.80088404,,,,
3,25.29117778,,,,
5,25.16308406,,,,
7,24.53767391,,,,
9,24.09648764,,,,
11,23.62423341,,,,
13,23.67742234,,,,
15,23.7361415,,,,
17,23.62071097,,,,
19,23.57152002,,,,
21,23.62377549,,,,
23,23.56681756,,,,
25,23.61273263,,,,
27,23.72346069,,,,
29,23.60810061,,,,
31,23.66350868,,,,
33,23.80194077,,,,
35,23.77612125,,,,
37,23.71747254,,,,
39,23.73320026,,,,
41,23.85983216,,,,
43,23.62712182,,,,
45,23.61872079,,,,
47,23.4843395,,,,
49,23.45374706,,,,
51,23.51903559,,,,
53,23.42762813,,,,
55,23.20307225,,,,
57,23.37144513,,,,
59,22.94799438,,,,
61,23.17448761,,,,
