Time,Norm mean,,,,Dose
0,18.31621365,,,,150
1,61.65306067,,,,
3,50.78430698,,,,
5,37.68191043,,,,
7,28.5521906,,,,
9,23.96212609,,,,
11,25.92475715,,,,
13,25.13002217,,,,
15,25.40169942,,,,
17,25.11721191,,,,
19,25.15381265,,,,
21,24.02917198,,,,
23,23.16472924,,,,
25,24.8110967,,,,
27,24.10137524,,,,
29,24.81508951,,,,
31,22.73267423,,,,
33,23.75633016,,,,
35,24.01153708,,,,
37,23.48249014,,,,
39,23.99323671,,,,
41,24.52611009,,,,
43,23.62223838,,,,
45,23.56334448,,,,
47,22.14373518,,,,
49,22.70222908,,,,
51,22.2856462,,,,
53,22.80254836,,,,
55,22.50475149,,,,
57,21.40506587,,,,
59,22.30960305,,,,
61,22.14922529,,,,
