Time,Norm mean,,,,Dose
0,16.11797582,,,,550
1,86.89588883,,,,
3,87.26123068,,,,
5,84.47325312,,,,
7,80.77242002,,,,
9,75.50474287,,,,
11,65.96908765,,,,
13,54.2867995,,,,
15,41.13499197,,,,
17,31.08576194,,,,
19,27.00877314,,,,
21,24.25423533,,,,
23,22.48192808,,,,
25,22.00046208,,,,
27,22.74478788,,,,
29,21.55243585,,,,
31,23.8404807,,,,
33,23.64416768,,,,
35,24.90090372,,,,
37,24.23643407,,,,
39,22.18296664,,,,
41,23.53669462,,,,
43,22.61502165,,,,
45,23.5222207,,,,
47,22.87172587,,,,
49,23.19946879,,,,
51,22.13804756,,,,
53,22.27396937,,,,
55,23.49610108,,,,
57,23.44186545,,,,
59,22.67923929,,,,
61,20.55473318,,,,
