Time,Norm mean,,,,Dose
0,22.808415,,,,350
1,33.59313709,,,,
3,47.73432951,,,,
5,50.0807081,,,,
7,49.37303215,,,,
9,44.01739795,,,,
11,40.64561135,,,,
13,35.84531833,,,,
15,32.23748643,,,,
17,29.69121445,,,,
19,27.6999157,,,,
21,26.40074665,,,,
23,25.89940336,,,,
25,25.79361533,,,,
27,25.239562,,,,
29,24.44385201,,,,
31,25.0291818,,,,
33,25.51764655,,,,
35,25.76877814,,,,
37,26.22256281,,,,
39,25.49437318,,,,
41,24.7559727,,,,
43,25.01722315,,,,
45,25.45141404,,,,
47,25.42906057,,,,
49,26.22228684,,,,
51,26.04750661,,,,
53,26.53661528,,,,
55,25.04601589,,,,
57,25.92635631,,,,
59,24.95954568,,,,
61,25.60991211,,,,
