Time,1,2,3,,Dose
0,0,0.074813067,0.837355113,,550
2,99.31302623,100,95.61429003,,
5,99.82861772,100,97.15468642,,
10,99.21045694,100,97.02864374,,
15,96.53702953,98.7605296,95.74256486,,
20,70.43666572,24.88056477,67.76903939,,
25,6.074498117,0,18.35993167,,
30,0.369651965,0,8.155965177,,
45,0.133910544,0,4.187485938,,
60,0.011963338,0,1.198978488,,
