Time,Norm mean,,,,Dose
0,22.82112,,,,350
1,29.15046094,,,,
3,29.43864979,,,,
5,29.18808065,,,,
7,28.39947561,,,,
9,27.1654926,,,,
11,25.64538136,,,,
13,24.1559154,,,,
15,24.16378806,,,,
17,23.74197524,,,,
19,23.44762211,,,,
21,23.52076568,,,,
23,23.68855736,,,,
25,23.13253938,,,,
27,23.43494131,,,,
29,23.45449088,,,,
31,23.56555357,,,,
33,23.7352826,,,,
35,23.14574855,,,,
37,23.43300396,,,,
39,23.24448269,,,,
41,23.30431142,,,,
43,23.51490081,,,,
45,23.55945974,,,,
47,23.81224803,,,,
49,23.26832965,,,,
51,23.35186444,,,,
53,23.22910722,,,,
55,22.9968724,,,,
57,23.15742546,,,,
59,23.26503616,,,,
61,23.15983833,,,,
