Time,1,2,3,,Dose
0,0.005554516,0,0.473148305,,350
2,100,100,98.16665708,,
5,100,100,97.6993043,,
10,99.74866344,98.70452541,95.4123097,,
15,46.32160536,13.60514836,48.85515358,,
20,2.646484547,0.005442564,5.959131717,,
25,1.746536884,0,4.335370191,,
30,0.82401574,0.00175716,2.724224644,,
45,0.490604532,0,4.327331986,,
60,0.793474231,0,1.570504414,,
