Time,Norm mean,,,,Dose
0,22.896135,,,,550
1,55.2897648,,,,
3,60,,,,
5,59.13925336,,,,
7,58.84700242,,,,
9,57.44728875,,,,
11,56.93334288,,,,
13,54.82429745,,,,
15,50.68513365,,,,
17,47.48877121,,,,
19,41.45912925,,,,
21,35.54208255,,,,
23,30.86422769,,,,
25,27.84282946,,,,
27,26.77455429,,,,
29,25.71694992,,,,
31,24.89180326,,,,
33,24.67507578,,,,
35,24.60424379,,,,
37,24.17676814,,,,
39,24.24916395,,,,
41,24.22156707,,,,
43,24.36047136,,,,
45,24.75814238,,,,
47,24.64931869,,,,
49,24.20316915,,,,
51,25.11386614,,,,
53,25.15829712,,,,
55,24.37758143,,,,
57,25.41678788,,,,
59,25.7127184,,,,
61,25.64492207,,,,
